,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID
Ticker,AM017989 Corp,AM133769 Corp,AN613063 Corp,AO149596 Corp,AP443267 Corp,AQ405263 Corp,AW573460 Corp,AX215440 Corp,AX644490 Corp,BG039168 Corp,EC817487 Corp,ED489316 Corp,EI137104 Corp,EI319358 Corp,EJ415238 Corp,EJ810150 Corp,EJ896023 Corp,EJ959750 Corp,EK238202 Corp,EK460904 Corp,EK480568 Corp,EK693447 Corp,EK779082 Corp,EK807683 Corp,EK818925 Corp,JV468065 Corp,JV594814 Corp,LW155835 Corp,LW283691 Corp,QZ661541 Corp,ZP353961 Corp,ZQ094539 Corp,ZR633952 Corp,ZS106935 Corp
Refdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,393.704,106.219,379.139,207.412,208.843,474.495,149.086,205.889,435.107,,291.469,217.23,39.688,66.126,112.666,144.563,72.191,50.65,385.085,244.163,183.333,94.193,72.684,164.77,117.873,69.632,147.842,189.419,72.519,178.576,253.317,392.95,223.386,175.759
2020-01-31,394.207,107.723,376.624,197.869,210.204,474.245,151.558,205.66,433.531,,296.234,205.368,41.158,70.011,113.303,143.886,71.627,52.323,380.41,242.184,183.568,94.81,73.576,165.388,120.239,68.479,144.341,190.624,72.719,179.496,253.404,393.109,222.99,178.338
2020-02-03,396.431,107.952,379.114,200.389,210.102,474.416,151.69,206.635,434.415,,297.253,212.284,39.535,69.114,113.177,144.595,71.351,52.803,385.223,244.967,184.776,95.289,79.332,166.207,120.665,72.191,148.732,191.402,73.034,179.564,255.822,351.769,224.373,179.195
2020-02-04,386.114,105.418,361.383,197.005,206.909,463.228,149.571,204.394,422.426,,293.021,202.121,38.586,68.436,111.141,142.058,68.371,51.47,373.107,231.341,180.964,94.156,78.795,165.449,118.825,73.638,139.834,188.194,72.313,176.834,249.646,346.274,220.195,177.445
2020-02-05,376.841,103.75,341.455,197.245,203.725,449.063,148.116,199.863,406.378,,288.562,205.062,39.045,66.701,107.662,139.18,64.252,52.06,356.474,221.601,177.021,93.172,72.076,160.144,115.975,70.963,134.446,185.235,73.231,174.126,240.982,342.335,216.132,174.737
2020-02-06,359.765,101.422,303.98,201.475,201.179,413.818,144.903,192.158,379.376,,288.648,212.737,38.664,61.102,103.639,131.824,58.372,50.514,334.697,198.091,169.895,91.737,68.906,153.904,114.941,68.999,117.681,183.557,71.468,171.545,229.918,344.69,205.411,173.021
2020-02-07,361.054,100.393,306.28,204.939,201.112,415.504,143.842,191.736,382.317,,290.641,217.927,38.913,64.948,102.887,130.374,57.513,51.989,333.49,200.791,169.44,91.823,59.352,153.807,114.942,69.87,120.14,184.195,70.94,171.178,228.963,346.449,204.955,171.527
2020-02-10,364.678,100.529,313.518,210.524,200.576,420.731,140.214,192.569,386.471,,291.909,226.972,39.27,67.381,103.559,130.633,57.629,51.375,333.166,210.137,170.372,91.504,73.754,147.008,115.763,68.215,125.26,182.912,71.19,168.706,228.959,344.737,206.57,167.383
2020-02-11,354.034,99.728,297.913,205.55,198.616,404.8,139.919,190.228,369.498,,290.074,217.263,41.211,66.777,101.842,129.214,55.526,50.741,324.537,198.559,167.835,91.044,72.573,137.954,114.214,66.318,121.102,181.074,71.472,166.76,225.302,342.023,203.911,165.434
2020-02-12,343.219,94.75,286.136,203.041,190.969,366.642,130.408,185.441,353.642,,284.279,210.923,40.444,59.242,101.149,127.06,55.489,50.595,316.929,188.249,163.629,86.685,73.825,135.053,114.448,65.381,116.261,172.775,70.082,157.937,215.474,342.012,194.776,154.974
2020-02-13,347.303,86.918,303.415,203.281,175.11,371.052,116.641,184.307,358.948,,267.791,209.142,38.203,62.63,100.068,126.197,54.133,50.806,312.495,202.106,164.054,78.376,67.227,134.34,109.568,64.294,122.72,156.286,69.468,148.093,217.064,342.516,195.357,142.079
2020-02-14,346.464,80.328,309.514,203.587,153.645,370.297,112.507,183.232,360.176,415.217,256.346,202.614,40.245,61.32,100.576,125.896,53.238,50.347,306.743,204.805,162.224,75.469,68.567,131.319,105.02,63.766,121.531,139.869,68.744,139.703,215.883,340.644,195.848,137.336
2020-02-17,347.318,78.152,313.043,203.83,148.679,374.683,111.323,182.836,362.948,416.944,257.989,201.873,40.733,53.253,99.383,125.446,52.429,50.076,297.866,202.274,161.16,75.729,58.758,128.202,101.756,65.172,119.541,135.452,69.358,135.479,216.187,356.359,196.257,136.963
2020-02-18,353.04,77.979,321.041,206.11,147.015,377.938,111.809,182.293,366.354,423.999,247.596,202.935,41.696,59.38,101.522,125.146,55.096,50.662,296.594,211.622,161.618,76.721,62.465,128.915,99.908,63.184,143.984,132.922,68.743,133.397,216.33,359.285,195.879,135.744
2020-02-19,353.141,78.271,321.954,209.077,146.891,379.79,113.095,180.672,367.147,425.261,245.349,206.307,42.048,59.465,100.262,123.77,53.378,49.706,293.355,210.828,159.462,76.568,57.877,128.093,98.495,63.784,140.261,131.377,67.012,132.005,215.451,360.828,195.216,134.223
2020-02-20,363.862,79.048,337.277,224.838,147.897,393.371,116.319,181.483,375.1,431.878,246.963,223.052,42.785,50.236,100.869,124.531,54.789,47.795,294.735,222.285,161.344,77.259,47.714,128.198,97.504,61.169,120.434,132.364,66.285,133.169,217.03,360.621,196.188,135.507
2020-02-21,372.083,79.64,353.854,222.716,148.753,404.068,118.071,184.795,381.312,438.104,248.948,221.922,42.48,48.033,102.484,126.705,52.736,48.231,296.978,242.324,162.929,78.364,44.239,128.933,92.906,60.813,123.445,132.817,66.949,134.474,221.014,361.866,201.391,137.086
2020-02-24,405.865,87.142,430.886,236.938,159.12,460.511,124.431,207.368,423.306,494.767,270.738,236.052,49.005,89.244,118.457,142.756,66.522,62.726,333.711,323.652,180.267,84.331,90.924,145.179,96.703,65.435,186.917,142.368,71.719,142.345,242.25,366.594,230.878,145.405
2020-02-25,411.171,92.566,451.051,241.426,166.111,477.736,134.027,219.941,432.377,504.859,300.571,241.97,52.199,84.766,123.445,149.464,70.852,60.863,360.691,324.449,191.251,91.811,86.191,175.606,100.002,67.8,196.647,149.308,70.967,149.839,252.139,368.399,244.213,151.767
2020-02-26,416.998,98.838,459.47,241.617,174.194,483.248,149.442,230.451,430.644,503.317,286.269,242.616,55.131,98.325,130.855,157.632,87.169,69.113,372.461,315.772,204.231,97.426,104.587,191.809,101.14,70.688,194.77,155.917,71.842,155.639,261.352,366.928,249.38,162.02
2020-02-27,443.614,104.529,521.805,245.99,180.263,523.621,162.547,253.058,464.313,560.001,289.966,249.986,56.506,99.276,142.69,170.829,88.922,70.716,397.61,366.024,226.921,103.676,123.203,217.401,107.692,70.627,239.088,163.456,75.349,161.497,279.066,377.997,270.32,169.649
2020-02-28,471.014,110.633,558.062,256.716,198.884,571.825,186.145,280.534,494.576,604.175,325.472,265.431,66.265,128.199,156.954,192.705,114.295,83.496,451.962,398.882,249.999,111.953,237.999,239.754,118.597,79.013,274.888,177.274,94.335,176.574,299.853,399.053,292.721,186.366
2020-03-02,471.519,124.676,558.544,262.266,214.5,579.883,209.316,287.053,495.768,599.968,336.868,272.342,82.326,149.514,161.464,196.739,109.277,86.304,463.077,390.929,254.748,124.672,226.43,254.318,129.27,92.062,267.358,198.538,98.852,197.608,308.408,402.617,298.996,206.593
2020-03-03,447.523,127.181,493.878,259.95,212.277,540.438,199.035,271.762,470.404,542.474,318.09,270.438,78.081,141.174,154.671,186.731,102.69,85.496,446.721,346.391,245.63,125.931,159.097,236.219,132.274,83.468,190.915,199.871,94.064,198.81,288.648,395.85,286.214,201.272
2020-03-04,432.819,123.37,483.92,263.016,208.25,541.53,188.574,267.766,455.11,560.115,296.362,270.724,76.635,132.018,151.842,181.52,97.293,83.778,439.679,316.289,244.74,121.099,173.012,225.6,137.026,76.781,163.535,196.802,92.119,194.083,286.283,390.193,279.455,193.104
2020-03-05,455.67,122.428,535.833,266.349,209.958,587.005,189.534,275.364,480.124,603.91,296.273,275.853,75.749,142.691,158.102,191.024,108.532,88.177,460.134,372.409,257.237,119.386,211.777,230.379,140.168,83.14,216.145,197.774,93.212,195.694,299.72,390.066,292.535,191.009
2020-03-06,487.001,135.445,623.306,281.049,222.69,657.724,203.518,304.812,530.27,671.08,316.32,297.427,82.622,169.906,176.24,212.374,119.954,109.787,505.392,469.077,284.88,132.349,257.47,243.84,196.272,86.478,314.554,210.065,97.496,208.775,335.269,403.636,337.487,203.55
2020-03-09,593.498,181.509,819.745,337.023,267.163,870.007,247.711,400.378,647.832,842.31,397.148,375.934,127.329,249.852,223.333,291.41,166.292,165.094,598.857,761.303,367.91,176.874,277.138,272.406,218.374,125.074,669.274,258.314,124.571,250.97,433.701,443.747,436.079,248.893
2020-03-10,572.66,185.333,782.911,343.891,269.301,828.293,249.571,392.76,626.462,800.607,393.911,384.646,129.82,228.642,222.376,293.002,162.593,168.405,581.384,679.591,359.369,181.827,280.951,296.596,232.032,132.577,563.34,262.022,141.344,252.182,427.497,441.156,432.953,247.744
