Refdate,INDUSTRY_SECTOR,0
2019-11-04,Utilities,41.75763850058283
2019-11-05,Basic Materials,438.7684521276596
2019-11-05,"Consumer, Cyclical",323.707
2019-11-05,Energy,124.53625
2019-11-05,Technology,-237.928
2019-11-05,Utilities,41.868817082314614
2019-11-06,Basic Materials,431.48231300813006
2019-11-06,"Consumer, Cyclical",319.4885
2019-11-06,Energy,123.2735
2019-11-06,Technology,-251.617
2019-11-06,Utilities,41.026783594775786
2019-11-07,Basic Materials,435.25345934959347
2019-11-07,"Consumer, Cyclical",314.262
2019-11-07,Energy,118.813
2019-11-07,Technology,-232.462
2019-11-07,Utilities,42.54449608232218
2019-11-08,Basic Materials,432.6289105691057
2019-11-08,"Consumer, Cyclical",311.164
2019-11-08,Energy,119.76925
2019-11-08,Technology,-294.05
2019-11-08,Utilities,43.55808438671129
2019-11-11,Basic Materials,434.076918699187
2019-11-11,"Consumer, Cyclical",302.138
2019-11-11,Energy,120.1135
2019-11-11,Technology,-332.417
2019-11-11,Utilities,45.391163572343814
2019-11-12,Basic Materials,430.6815487804878
2019-11-12,"Consumer, Cyclical",299.9705
2019-11-12,Energy,119.87975
2019-11-12,Technology,-325.061
2019-11-12,Utilities,46.13804738600005
2019-11-13,Basic Materials,433.60531707317074
2019-11-13,"Consumer, Cyclical",313.886
2019-11-13,Energy,121.3785
2019-11-13,Technology,-319.763
2019-11-13,Utilities,47.01738361123141
2019-11-14,Basic Materials,433.60132926829266
2019-11-14,"Consumer, Cyclical",314.8615
2019-11-14,Energy,121.871
2019-11-14,Technology,-329.587
2019-11-14,Utilities,47.46743629745709
2019-11-15,Basic Materials,430.6995325203252
2019-11-15,"Consumer, Cyclical",304.8625
2019-11-15,Energy,115.355
2019-11-15,Technology,-322.272
2019-11-15,Utilities,49.055961943787864
2019-11-18,Basic Materials,446.39177659574466
2019-11-18,"Consumer, Cyclical",290.5585
2019-11-18,Energy,114.53875
2019-11-18,Technology,-267.725
2019-11-18,Utilities,50.70264474958878
2019-11-19,Basic Materials,424.1624349593496
2019-11-19,"Consumer, Cyclical",294.546
2019-11-19,Energy,114.2005
2019-11-19,Technology,-278.597
2019-11-19,Utilities,51.83648827657291
2019-11-20,Basic Materials,442.5748670212766
2019-11-20,"Consumer, Cyclical",309.68
2019-11-20,Energy,115.04775
2019-11-20,Technology,-289.04
2019-11-20,Utilities,52.84070109667438
2019-11-21,Basic Materials,421.1456016260163
2019-11-21,"Consumer, Cyclical",288.0645
2019-11-21,Energy,115.87775
2019-11-21,Technology,-286.118
2019-11-21,Utilities,52.90755461890083
2019-11-22,Basic Materials,398.7468287292818
2019-11-22,"Consumer, Cyclical",306.7035
2019-11-22,Energy,115.9805
2019-11-22,Technology,-304.757
2019-11-22,Utilities,52.491248038579144
2019-11-25,Basic Materials,396.94217127071823
2019-11-25,"Consumer, Cyclical",287.84
2019-11-25,Energy,115.163
2019-11-25,Technology,-256.474
2019-11-25,Utilities,51.5622879882208
2019-11-26,Basic Materials,391.8533591160221
2019-11-26,"Consumer, Cyclical",279.8535
2019-11-26,Energy,114.97075
2019-11-26,Technology,-287.78
2019-11-26,Utilities,49.93640746018118
2019-11-27,Basic Materials,400.46255801104974
2019-11-27,"Consumer, Cyclical",282.223
2019-11-27,Energy,115.654
2019-11-27,Technology,-333.912
2019-11-27,Utilities,51.39683893627818
2019-11-28,Basic Materials,413.1852209944751
2019-11-28,"Consumer, Cyclical",278.709
2019-11-28,Energy,115.51875
2019-11-28,Technology,-372.285
2019-11-28,Utilities,51.16703880153485
2019-11-29,Basic Materials,404.1503867403315
2019-11-29,"Consumer, Cyclical",278.8
2019-11-29,Energy,113.538
2019-11-29,Technology,-401.592
2019-11-29,Utilities,51.44585939220224
2019-12-02,Basic Materials,408.1332113821138
2019-12-02,"Consumer, Cyclical",277.34
2019-12-02,Energy,112.0895
2019-12-02,Technology,-341.93
2019-12-02,Utilities,51.63471899474728
2019-12-03,Basic Materials,400.31447154471545
2019-12-03,"Consumer, Cyclical",303.5255
2019-12-03,Energy,115.05675
2019-12-03,Technology,-376.851
2019-12-03,Utilities,50.10665741009136
2019-12-04,Basic Materials,399.36966260162603
2019-12-04,"Consumer, Cyclical",316.698
2019-12-04,Energy,113.063
2019-12-04,Technology,-359.315
2019-12-04,Utilities,49.66235937739906
2019-12-05,Basic Materials,437.9238138297872
2019-12-05,"Consumer, Cyclical",314.8885
2019-12-05,Energy,111.535
2019-12-05,Technology,-383.158
2019-12-05,Utilities,48.70643677460133
2019-12-06,Basic Materials,384.74475203252035
2019-12-06,"Consumer, Cyclical",320.152
2019-12-06,Energy,109.92475
2019-12-06,Technology,-473.517
2019-12-06,Utilities,48.76704200831594
2019-12-09,Basic Materials,378.9032479674797
2019-12-09,"Consumer, Cyclical",320.373
2019-12-09,Energy,109.99925
2019-12-09,Technology,-439.826
2019-12-09,Utilities,47.30629213827406
2019-12-10,Basic Materials,399.5218780487805
2019-12-10,"Consumer, Cyclical",318.211
2019-12-10,Energy,110.39625
2019-12-10,Technology,-509.555
2019-12-10,Utilities,46.94181851925549
2019-12-11,Basic Materials,423.0776276595745
2019-12-11,"Consumer, Cyclical",315.117
2019-12-11,Energy,110.8695
2019-12-11,Technology,-506.104
2019-12-11,Utilities,47.82624893055658
2019-12-12,Basic Materials,416.33043617021275
2019-12-12,"Consumer, Cyclical",305.444
2019-12-12,Energy,109.69375
2019-12-12,Technology,-392.161
2019-12-12,Utilities,49.15870229263332
2019-12-13,Basic Materials,403.99890425531913
2019-12-13,"Consumer, Cyclical",299.038
2019-12-13,Energy,108.26525
2019-12-13,Technology,-372.767
2019-12-13,Utilities,48.15653912169657
2019-12-16,Basic Materials,402.9778085106383
2019-12-16,"Consumer, Cyclical",294.597
2019-12-16,Energy,107.34325
2019-12-16,Technology,-412.134
2019-12-16,Utilities,48.79420450347048
2019-12-17,Basic Materials,403.4551010638298
2019-12-17,"Consumer, Cyclical",263.303
2019-12-17,Energy,106.794
2019-12-17,Technology,-433.621
2019-12-17,Utilities,47.35958395087824
2019-12-18,Basic Materials,382.48397967479673
2019-12-18,"Consumer, Cyclical",256.845
2019-12-18,Energy,105.629
2019-12-18,Technology,-419.485
