Refdate;Italy;Spain;France;;;
27/05/2019;361.0759567;433.0337133;356.6653757;;;
28/05/2019;369.771919;433.7038578;362.3693841;;;
29/05/2019;374.3566644;439.4675046;375.6586821;;;
30/05/2019;371.4020189;431.5997798;371.9238493;;;
31/05/2019;375.1454073;438.4707454;380.7347581;;;
03/06/2019;376.7908412;439.010195;387.8607641;;;
04/06/2019;365.0383896;422.0686239;379.5209772;;;
05/06/2019;361.5782649;408.6268165;375.6601179;;;
06/06/2019;359.6035109;401.9376445;376.3838454;;;
07/06/2019;353.9444608;397.9588739;372.0630892;;;
10/06/2019;348.4593022;387.5883853;365.1375713;;;
11/06/2019;345.5507835;381.1127729;357.2159054;;;
12/06/2019;349.255492;388.2998899;360.8426011;;;
13/06/2019;348.5844598;384.7889817;358.9548438;;;
14/06/2019;349.0036998;384.7664312;360.28383;;;
17/06/2019;347.3805296;382.2605849;359.3802796;;;
18/06/2019;333.086945;359.6343211;353.5762339;;;
19/06/2019;318.514249;337.4581697;340.9660171;;;
20/06/2019;306.9739155;329.9011881;332.0570373;;;
21/06/2019;310.7011938;338.9542592;333.9044803;;;
24/06/2019;311.1546498;339.8813349;336.690258;;;
25/06/2019;315.559947;347.8199541;346.1591752;;;
26/06/2019;316.2548934;351.458383;345.5734323;;;
27/06/2019;313.805388;346.4198303;338.1566249;;;
28/06/2019;308.2551791;337.9229289;331.9956956;;;
01/07/2019;300.7570877;326.1223096;326.5105582;;;
02/07/2019;293.819832;323.7376353;324.3201365;;;
03/07/2019;280.0435592;315.3648417;321.2221286;;;
04/07/2019;271.645528;310.8691216;318.2811618;;;
05/07/2019;271.3254861;313.7802317;313.8805444;;;
08/07/2019;279.0804798;327.4032683;319.5207649;;;
09/07/2019;283.2174694;336.6426995;323.6937176;;;
10/07/2019;279.7465936;332.6674358;320.9816857;;;
11/07/2019;273.112503;323.8184312;315.8098591;;;
12/07/2019;272.5232508;321.9704587;313.9965231;;;
15/07/2019;272.7098322;324.2488807;314.8785259;;;
16/07/2019;271.6991706;326.6277064;315.9196395;;;
17/07/2019;276.6086046;336.8494564;318.2184544;;;
18/07/2019;279.3758773;346.0953876;321.8852754;;;
19/07/2019;267.6799476;341.9520413;321.1977657;;;
22/07/2019;267.1602331;342.0441055;320.0899874;;;
23/07/2019;260.9240288;333.4879197;315.2680893;;;
24/07/2019;255.8715867;324.5216537;310.1269039;;;
25/07/2019;253.2276866;315.9103028;299.7885963;;;
26/07/2019;253.7340147;319.6048234;297.7427109;;;
29/07/2019;254.0308541;324.1613394;297.7460589;;;
30/07/2019;262.6317935;339.1959197;304.5265535;;;
31/07/2019;264.3599529;340.7827592;305.4565539;;;
01/08/2019;266.511546;345.3839771;305.8530008;;;
02/08/2019;275.9278059;362.5272546;313.4566171;;;
05/08/2019;286.8569776;382.2516927;324.9434639;;;
06/08/2019;286.5478266;376.187695;323.7883134;;;
07/08/2019;287.3570568;373.889883;325.1097998;;;
08/08/2019;285.4061453;365.2635665;320.5606321;;;
09/08/2019;304.6048154;365.7538326;321.8764798;;;
12/08/2019;306.723943;368.3181239;322.3006927;;;
13/08/2019;310.1153942;376.7022431;324.9336696;;;
14/08/2019;311.654269;382.407828;329.2437598;;;
