,Refdate,Product,ISIN,Country,Outstanding,Cpn,Px_Mid,Yield,Z_Spread,Country_Weight
38895,2020-08-11,GLOPAR 5 1/8 03/31/27,USP47777AA86,Brazil,200000000.0,5.125,101.8550033569336,4.7841620445251465,437.6503601074219,0.8
38896,2020-08-11,GLOPAR 4.843 06/08/25 Corp,USP47773AN93,Brazil,325000000.0,4.8429999351501465,101.71600341796875,4.423935413360596,412.14471435546875,0.8
38898,2020-08-11,BANBRA 9 PERP,USP3772WAF97,Brazil,2150000128.0,9.0,111.84349822998047,5.535894393920898,526.8829956054688,0.8
38899,2020-08-11,BANBRA 4 3/4 03/20/24,USP1R027AA25,Brazil,750000000.0,4.75,105.81099700927734,3.0342564582824707,277.3878173828125,0.8
38906,2020-08-11,BANVOR 4 1/2 09/24/24,XS2055749720,Brazil,450000000.0,4.5,103.55950164794922,3.5611143112182617,328.0771484375,0.8
38907,2020-08-11,BANVOR 4 3/8 07/29/25,XS2210789934,Brazil,500000000.0,4.375,101.54000091552734,4.0290727615356445,370.64532470703125,0.8
38913,2020-08-11,PETBRA 5 3/4 02/01/29,US71647NAZ24,Brazil,1588526976.0,5.75,110.6405029296875,4.240687847137451,371.514892578125,0.8
38914,2020-08-11,PETBRA 5 5/8 05/20/43,US71647NAA72,Brazil,618064000.0,5.625,106.59200286865234,5.130229949951172,430.1590881347656,0.8
38915,2020-08-11,PETBRA 5.299 01/27/25,US71647NAV10,Brazil,2099362944.0,5.298999786376953,109.81800079345703,2.931932210922241,263.486328125,0.8
38916,2020-08-11,PETBRA 6 1/4 03/17/24,US71647NAM11,Brazil,1585773056.0,6.25,111.05249786376953,2.9832568168640137,272.3746032714844,0.8
38917,2020-08-11,PETBRA 6 3/4 01/27/41,US71645WAS08,Brazil,1058787968.0,6.75,114.4749984741211,5.556509017944336,475.51690673828125,0.8
38918,2020-08-11,PETBRA 6 7/8 01/20/40,US71645WAQ42,Brazil,1093128960.0,6.875,115.70050048828125,5.5446038246154785,475.4092712402344,0.8
38919,2020-08-11,PETBRA 6.85 06/05/15,US71647NAN93,Brazil,2448999936.0,6.849999904632568,113.16549682617188,6.049929618835449,524.3339233398438,0.8
38920,2020-08-11,PETBRA 7 1/4 03/17/44,US71647NAK54,Brazil,1647604992.0,7.25,120.21949768066406,5.682717323303223,486.8934631347656,0.8
38921,2020-08-11,PETBRA 7 3/8 01/17/27,US71647NAS80,Brazil,2267504128.0,7.375,120.60900115966797,3.73772931098938,333.2835998535156,0.8
38922,2020-08-11,PETBRA 8 3/4 05/23/26,US71647NAQ25,Brazil,2042471040.0,8.75,127.50499725341797,3.4557993412017822,309.2107238769531,0.8
38928,2020-08-11,KLAB 4 7/8 09/19/27,USL5828LAB55,Brazil,500000000.0,4.875,107.16100311279297,3.7175791263580322,326.47393798828125,0.8
38929,2020-08-11,KLAB 5 1/4 07/16/24,USL5828LAA72,Brazil,271462016.0,5.25,108.8844985961914,2.8410825729370117,256.9769592285156,0.8
38930,2020-08-11,KLAB 5 3/4 04/03/29,USA35155AA77,Brazil,750000000.0,5.75,111.4375,4.123190879821777,360.19622802734375,0.8
38931,2020-08-11,KLAB 7 04/03/49,USA35155AB50,Brazil,700000000.0,7.0,116.47200012207031,5.804332733154297,497.3463439941406,0.8
38932,2020-08-11,PETBRA 5.6 01/03/31,US71647NBH17,Brazil,1500000000.0,5.599999904632568,107.61250305175781,4.6486968994140625,404.5523986816406,0.8
38933,2020-08-11,PETBRA 6 3/4 06/03/50,US71647NBG34,Brazil,1750000000.0,6.75,115.19599914550781,5.678835391998291,484.1575012207031,0.8
38934,2020-08-11,UNIGEL 8 3/4 10/01/26,USL9467UAB37,Brazil,420000000.0,8.75,84.23049926757812,12.501073837280273,1212.225830078125,0.8
38938,2020-08-11,AGRO 6 09/21/27,USL00849AA47,Brazil,500000000.0,6.0,99.65699768066406,6.058812141418457,561.1632080078125,0.8
