,Refdate,Value
0,2016-12-30,98.20255077895803
1,2017-01-03,98.31436273703731
2,2017-01-04,98.53444383629031
3,2017-01-05,99.2140345141879
4,2017-01-06,99.34366225307835
5,2017-01-09,99.48980017713524
6,2017-01-10,99.50403886921768
7,2017-01-11,99.31273159438595
8,2017-01-12,99.61873488391714
9,2017-01-13,99.69183325978952
10,2017-01-16,59.0241577894964
11,2017-01-17,100.18669279139024
12,2017-01-18,100.12008245409744
13,2017-01-19,99.77213334039044
14,2017-01-20,99.86319451920369
15,2017-01-23,100.05986488902525
16,2017-01-24,100.14326928794821
17,2017-01-25,100.19843848056934
18,2017-01-26,100.18236683304883
19,2017-01-27,100.44142025576058
20,2017-01-30,100.54294841434151
21,2017-01-31,100.6360595979851
22,2017-02-01,100.86502813417859
23,2017-02-02,101.21699422553922
24,2017-02-03,101.32674581343348
25,2017-02-06,101.48597732213392
26,2017-02-07,101.31099616747426
27,2017-02-08,101.31656229985259
28,2017-02-09,101.34245324177328
29,2017-02-10,101.50979312237881
30,2017-02-13,101.92170160744033
31,2017-02-14,101.98633182967606
32,2017-02-15,101.78835649889254
33,2017-02-16,101.89847734099885
34,2017-02-17,101.79322621116138
35,2017-02-20,63.339286408641485
36,2017-02-21,101.91555875798218
37,2017-02-22,102.11811196974365
38,2017-02-23,102.42722752642558
39,2017-02-24,102.42260290151839
40,2017-03-01,102.13656036810643
41,2017-03-02,102.05892242473593
42,2017-03-03,102.00542339695753
43,2017-03-06,101.96431357589839
44,2017-03-07,101.90618066925578
45,2017-03-08,101.31466235319411
46,2017-03-09,100.76258334200438
47,2017-03-10,101.08081619778773
48,2017-03-13,101.02340896252252
49,2017-03-14,100.82204756200932
50,2017-03-15,101.07932951049531
51,2017-03-16,101.3883136978005
52,2017-03-17,101.47199191354198
53,2017-03-20,101.4293366354132
54,2017-03-21,101.4882763346837
55,2017-03-22,101.46445655957254
56,2017-03-23,101.56656191063644
57,2017-03-24,101.72077078005445
58,2017-03-27,101.85614645057096
59,2017-03-28,102.0765848338671
60,2017-03-29,102.2963131393582
61,2017-03-30,102.38652117804253
62,2017-03-31,102.39683340183646
63,2017-04-03,102.3973307928926
64,2017-04-04,102.41971108601516
65,2017-04-05,102.57952784485354
66,2017-04-06,102.65613872504434
67,2017-04-07,102.60498409430218
68,2017-04-10,102.63782609278017
69,2017-04-11,102.80127761396297
70,2017-04-12,102.7211898020013
71,2017-04-13,102.56773605804817
72,2017-04-17,102.5973113413002
73,2017-04-18,102.63431449532118
74,2017-04-19,102.64989193175211
75,2017-04-20,102.74680073742941
76,2017-04-24,103.16432175817604
77,2017-04-25,103.05420674818433
78,2017-04-26,102.97530648927622
79,2017-04-27,102.93644997331623
80,2017-04-28,103.03370738724334
81,2017-05-02,103.20810085810004
82,2017-05-03,103.3107404152524
83,2017-05-04,103.06706527775604
84,2017-05-05,103.01324582348451
85,2017-05-08,103.0062625431321
86,2017-05-09,102.94096435755439
87,2017-05-10,103.00136507946254
88,2017-05-11,103.13563211187576
89,2017-05-12,103.54220357915867
90,2017-05-15,103.5929145028211
91,2017-05-16,103.67845668485188
92,2017-05-17,103.57160470138473
93,2017-05-18,101.9462325006919
94,2017-05-19,102.26826265477975
95,2017-05-22,102.01402665832725
96,2017-05-23,101.7136833302682
97,2017-05-24,102.07409345755337
98,2017-05-25,102.12395383373791
99,2017-05-26,102.13695726771951
100,2017-10-10,105.33624633467156
101,2017-10-11,105.24473148590242
102,2017-10-13,105.35306071579404
103,2017-10-16,105.41735480706963
104,2017-10-17,105.58124657004407
105,2017-10-18,105.673245083674
106,2017-10-19,105.80710741525041
107,2017-10-20,105.71289303193963
108,2017-10-23,105.77302583218017
109,2017-10-24,105.530858836027
110,2017-10-25,105.35707022044531
111,2017-10-26,105.30597591650177
112,2017-10-27,105.24069945720697
113,2017-10-30,105.42492856026612
114,2017-10-31,105.45796776359822
115,2017-11-01,105.45082982067032
116,2017-11-03,105.47957904174916
117,2017-11-06,105.49709676874538
118,2017-11-07,105.39089080019738
119,2017-11-08,105.0754054507069
120,2017-11-09,104.90536277684559
121,2017-11-10,104.63364146540715
122,2017-11-13,104.45460948588365
123,2017-11-14,104.58058915098553
124,2017-11-16,104.60257016867924
125,2017-11-17,104.83889019424831
126,2017-11-21,105.07512791498458
127,2017-11-22,105.19975127129146
128,2017-11-23,75.11652901682494
129,2017-11-24,105.20768402271469
130,2017-11-27,105.39180939475227
131,2017-11-28,105.5075893048315
132,2017-11-29,105.37754635600945
133,2017-11-30,105.14997472187804
134,2017-12-01,105.1381022084285
135,2017-12-04,105.12991981217351
136,2017-12-05,105.37362085596763
137,2017-12-06,105.33522522456886
138,2017-12-07,105.0745137840294
139,2017-12-08,105.05554883439675
140,2017-12-11,105.03728655618498
141,2017-12-12,104.75927013257987
142,2017-12-13,104.95875054436499
143,2017-12-14,104.83393652413777
144,2017-12-15,104.86404418733873
145,2017-12-18,104.84059742931962
146,2017-12-19,104.76101837959106
147,2017-12-20,104.73450504361844
148,2017-12-21,104.76935069323798
149,2017-12-22,104.81262845297951
150,2017-12-26,104.84785628074249
151,2017-12-27,104.881588913771
152,2017-12-28,104.83533756010544
153,2017-12-29,104.89006863225497
154,2018-01-02,104.9101804051847
155,2018-01-03,105.34921970739043
156,2018-01-04,105.52624287707556
157,2018-01-05,105.5891785594252
158,2018-01-08,105.49657447504354
159,2018-01-09,105.37386369118994
160,2018-01-10,105.28439585071874
161,2018-01-11,105.35653103650483
162,2018-01-12,105.33151913684483
163,2018-01-15,75.39432779124076
164,2018-01-16,105.41374832874374
165,2018-01-17,105.25584616724437
166,2018-01-18,105.12277810218212
167,2018-01-19,104.90058817078288
168,2018-01-22,104.83651499054353
169,2018-01-23,104.95908993866246
170,2018-01-24,105.01838615577368
171,2018-01-25,105.36828563139551
172,2018-01-26,105.4768491992065
173,2018-01-29,105.31421222078171
174,2018-01-30,105.20921197867375
175,2018-01-31,105.28303430269102
176,2018-02-01,105.1201190221415
177,2018-02-02,104.72848156712146
178,2018-02-05,104.50903652650067
179,2018-02-06,104.26086370670617
180,2018-02-07,104.30577941132131
181,2018-02-08,103.8253624650722
182,2018-02-09,102.75133830358556
183,2018-02-12,102.86567814273913
184,2018-02-13,102.80644966597617
185,2018-02-14,102.44751055890112
186,2018-02-15,102.86165921180654
187,2018-02-16,103.38643415363829
188,2018-02-19,75.26600265155177
189,2018-02-20,103.21949333867046
190,2018-02-21,103.18215175423568
191,2018-02-22,103.0964368319755
192,2018-02-23,103.14454766484224
193,2018-02-26,103.3137027779975
194,2018-02-27,103.32109002805532
195,2018-02-28,103.29895125763869
196,2018-03-01,103.1278989274325
197,2018-03-02,102.41014851646358
198,2018-03-05,102.63264813473636
199,2018-03-06,102.58449555062688
200,2018-03-07,102.5149719700425
201,2018-03-08,102.52420482886976
202,2018-03-09,101.33186791227182
203,2018-03-12,102.6215804072914
204,2018-03-13,102.61507375949643
205,2018-03-14,102.54138253091462
