Date,Brazil Indus Prod SA MoM 2012,Capacity Utilization,Consumer Prices,Markit Brazil Composite PMI Ou,Markit Brazil Manufacturing PM,Markit Brazil Services PMI Bus,Producer Prices,Real GDP,Retail Sales,Unemployment Rate
1989-05-31,,,17.920000076293945,,,,,,,
1989-06-30,,,28.649999618530273,,,,,,,
1989-07-31,,,27.739999771118164,,,,,,,
1989-08-31,,,33.709999084472656,,,,,,,
1989-09-30,,,37.560001373291016,,,,,,,
1989-10-31,,,39.77000045776367,,,,,,,
1989-11-30,,,47.81999969482422,,,,,,,
1989-12-31,,,51.5,,,,,,,
1990-01-31,,,67.55000305175781,,,,,,,
1990-02-28,,,75.7300033569336,,,,,,,
1990-03-31,,,82.38999938964844,,,,,,,
1990-04-30,,,15.520000457763672,,,,,,,
1990-05-31,,,7.590000152587891,,,,,,,
1990-06-30,,,11.75,,,,,,,
1990-07-31,,,12.920000076293945,,,,,,,
1990-08-31,,,12.880000114440918,,,,,,,
1990-09-30,,,14.40999984741211,,,,,,,
1990-10-31,,,14.359999656677246,,,,,,,
1990-11-30,,,16.809999465942383,,,,,,,
1990-12-31,,,18.440000534057617,,,,,,,
1991-01-31,,,20.75,,,,,,,
1991-02-28,,,20.719999313354492,,,,,,,
1991-03-31,,,11.920000076293945,,,,,,,
1991-04-30,,,4.989999771118164,,,,,,,
1991-05-31,,,7.429999828338623,,,,,,,
1991-06-30,,,11.1899995803833,,,,,,,
1991-07-31,,,12.40999984741211,,,,,,,
1991-08-31,,,15.630000114440918,,,,,,,
1991-09-30,,,15.630000114440918,,,,,,,
1991-10-31,,,20.229999542236328,,,,,,,
1991-11-30,,,25.209999084472656,,,,,,,
1991-12-31,,,23.709999084472656,,,,,,,
1992-01-31,,,25.940000534057617,,,,,,,
1992-02-29,,,24.31999969482422,,,,,,,
1992-03-31,,,21.399999618530273,,,,,,,
1992-04-30,,,19.93000030517578,,,,,,,
1992-05-31,,,24.860000610351562,,,,,,,
1992-06-30,,,20.209999084472656,,,,,,,
1992-07-31,,,21.829999923706055,,,,,,,
1992-08-31,,,22.139999389648438,,,,,,,
1992-09-30,,,24.6299991607666,,,,,,,
1992-10-31,,,25.239999771118164,,,,,,,
1992-11-30,,,22.489999771118164,,,,,,,
1992-12-31,,,25.239999771118164,,,,,,,
1993-01-31,,,30.350000381469727,,,,,,,
1993-02-28,,,24.979999542236328,,,,,,,
1993-03-31,,,27.260000228881836,,,,,,,
1993-04-30,,,27.75,,,,,,,
1993-05-31,,,27.690000534057617,,,,,,,
1993-06-30,,,30.06999969482422,,,,,,,
1993-07-31,,,30.719999313354492,,,,,,,
1993-08-31,,,32.959999084472656,,,,,,,
1993-09-30,,,35.689998626708984,,,,,,,
1993-10-31,,,33.91999816894531,,,,,,,
1993-11-30,,,35.560001373291016,,,,,,,
1993-12-31,,,36.84000015258789,,,,,,,
1994-01-31,,,41.310001373291016,,,,,,,
1994-02-28,,,40.27000045776367,,,,,,,
1994-03-31,,,42.75,,,,,,,
1994-04-30,,,42.68000030517578,,,,,,,
1994-05-31,,,44.029998779296875,,,,,,,
1994-06-30,,,47.43000030517578,,,,,,,
1994-07-31,,,6.840000152587891,,,,,,,
1994-08-31,,,1.8600000143051147,,,,,,,
1994-09-30,,,1.5299999713897705,,,,1.940000057220459,,,
1994-10-31,,,2.619999885559082,,,,1.9800000190734863,,,
1994-11-30,,,2.809999942779541,,,,2.759999990463257,,,
1994-12-31,,,1.7100000381469727,,,,0.2199999988079071,,,
1995-01-31,,,1.7000000476837158,,,,0.5099999904632568,,,
1995-02-28,,,1.0199999809265137,,,,0.8799999952316284,,,
1995-03-31,,,1.5499999523162842,,,,0.11999999731779099,,,
1995-04-30,,,2.430000066757202,,,,1.6100000143051147,,,
1995-05-31,,,2.6700000762939453,,,,-0.7300000190734863,,,
1995-06-30,,,2.259999990463257,,,,0.5600000023841858,,,
1995-07-31,,,2.359999895095825,,,,0.8999999761581421,,,
1995-08-31,,,0.9900000095367432,,,,2.859999895095825,,,
1995-09-30,,,0.9900000095367432,,,,-1.5800000429153442,,,
1995-10-31,,,1.409999966621399,,,,0.33000001311302185,,,
1995-11-30,,,1.4700000286102295,,,,1.409999966621399,,,
1995-12-31,,,1.559999942779541,,,,0.20000000298023224,,,
1996-01-31,,,1.340000033378601,,,,1.4900000095367432,,,
1996-02-29,,,1.0299999713897705,,,,0.47999998927116394,,,
1996-03-31,,,0.3499999940395355,,,,0.12999999523162842,,,
1996-04-30,,,1.2599999904632568,,,,-0.05000000074505806,,,
1996-05-31,,,1.2200000286102295,,,,1.409999966621399,,,
1996-06-30,,,1.190000057220459,,,,0.4099999964237213,-0.5,,
1996-07-31,,,1.1100000143051147,,,,1.590000033378601,,,
1996-08-31,,,0.4399999976158142,,,,0.2199999988079071,,,
1996-09-30,,,0.15000000596046448,,,,0.3499999940395355,4.0,,
1996-10-31,,,0.30000001192092896,,,,0.3700000047683716,,,
1996-11-30,,,0.3199999928474426,,,,0.019999999552965164,,,
1996-12-31,,,0.4699999988079071,,,,1.2300000190734863,-1.100000023841858,,
