Refdate,Price Mid,YTM,Currenty Yield
2019-01-02,102.84373052388908,4.937979287736405,5.091043551676799
2019-01-03,103.50061379634715,4.87066882976992,5.057438533854652
2019-01-04,104.12279741093592,4.808326927859952,5.026102763691154
2019-01-05,104.11660342398197,4.80902409927737,5.026402872365621
2019-01-07,104.81174216451772,4.741840189427715,4.99148027899996
2019-01-08,104.7465344964539,4.748152730622435,4.994594021130516
2019-01-09,104.87210852275737,4.7354881293649065,4.988444491134403
2019-01-10,104.49900851085445,4.769630854278217,5.008238748913851
2019-01-11,104.55506631497128,4.763342301699813,5.005564698348963
2019-01-12,104.53807336147509,4.764598797198927,5.006458453823703
2019-01-13,104.5380733614751,4.764598797198905,5.006458453823703
2019-01-14,104.63100076282468,4.7547976450026175,5.001989437932641
2019-01-15,104.63257597123723,4.751816309265711,5.002115626187886
2019-01-16,104.5418690837444,4.759551870845957,5.006613637590029
2019-01-17,104.56556003609964,4.757520002839755,5.005405415671649
2019-01-18,104.44155659908114,4.7525932893253575,4.996275936070327
2019-01-21,104.43065131861908,4.753171083197949,4.996872422852738
2019-01-22,104.29330491387142,4.766646491401283,5.004330578119287
2019-01-23,104.3928709728798,4.754342871291417,4.999296973354173
2019-01-24,104.74493092903035,4.720696157663973,4.981501502788244
2019-01-25,104.95719744048033,4.70148391418137,4.970580792486734
2019-01-28,104.92595705168134,4.706829631309284,4.971820806545901
2019-01-29,104.93669464462177,4.706734904177123,4.9714197596745
2019-01-30,104.8510626888926,4.715875391991986,4.975766513760904
2019-01-31,105.99928880809547,4.6009928125282595,4.920001283940834
2019-02-01,105.93006444425953,4.608967379278761,4.924008557598092
2019-02-04,105.9913144755062,4.604064307557354,4.92098890671957
2019-02-05,106.1729373780141,4.587178100033351,4.912204924057639
2019-02-06,105.91748381083572,4.613079062679382,4.924807152649957
2019-02-07,105.70231867930595,4.632930632884968,4.935552868304094
2019-02-08,105.52239621127327,4.6492994471517335,4.94459467495052
2019-02-11,105.23510686724208,4.677159767884254,4.958482702496214
2019-02-12,105.31909591308303,4.666444871859143,4.954158829994082
2019-02-13,105.36302586457026,4.661848380783229,4.9522723744650055
2019-02-14,105.55090508335925,4.64036415856941,4.942859356560891
2019-02-15,105.60754330334757,4.635299647257152,4.939882448614807
2019-02-18,105.60754330334758,4.635299647257174,4.939882448614807
2019-02-19,105.79266878496713,4.616953067897067,4.930825313038145
2019-02-20,105.79882683615116,4.616627556207287,4.930715989948009
2019-02-21,105.42778680151787,4.649498660828555,4.949261719270992
2019-02-22,105.76955880315198,4.615460821997397,4.932521899031839
2019-02-25,105.65350860978343,4.6268116135169235,4.9383550782021945
2019-02-26,105.98893214908333,4.593372700709453,4.921682422380136
2019-02-27,106.00382675536822,4.592421294921678,4.921230175749169
2019-02-28,105.89011744381486,4.604383129257417,4.9267902604048786
2019-03-01,105.62669611833998,4.629920886527539,4.939320854274021
2019-03-04,105.6034855798174,4.631831267213915,4.94072589406489
2019-03-05,105.57713077767734,4.634506319592568,4.942378770288203
2019-03-06,105.59614528312204,4.630588503329647,4.942239807363591
2019-03-07,105.62208334671828,4.627155359142798,4.94097539359486
2019-03-08,105.71490813245329,4.616758547611122,4.936595604253835
2019-03-11,105.9634119496545,4.5886855090671474,4.924320844147356
2019-03-12,106.31566277356589,4.554932828583791,4.907439672358915
2019-03-13,106.31330879417229,4.553336512934125,4.908295160153897
2019-03-14,106.3008358812654,4.551811730612565,4.909334307424307
2019-03-15,106.51883511606178,4.528705307742165,4.899054897555422
2019-03-18,106.74891474358618,4.506438313447081,4.887974478585866
2019-03-19,106.88254517256382,4.492568408784137,4.881781651900918
2019-03-20,107.41329116753154,4.4390322115333225,4.856449779187666
2019-03-21,107.91511105831586,4.391863933627094,4.833390209233368
2019-03-22,107.87955925307296,4.397282816592618,4.836606194070048
2019-03-25,108.10753038289027,4.371140930102246,4.826421031158046
2019-03-26,108.46048895642102,4.337262575167533,4.81124173026346
2019-03-27,108.49000240350222,4.339939767645529,4.811553834514126
2019-03-28,108.67464839687369,4.321919645609018,4.802092292327731
2019-03-29,108.74627369071933,4.316752720457129,4.79840525849351
2019-04-01,108.29121979816536,4.358703511839113,4.818953069265186
2019-04-02,108.06518211516833,4.3821090112476035,4.829510556343131
2019-04-03,108.03248063676457,4.386166233130906,4.831002420814068
2019-04-04,108.05249475788574,4.383927500212836,4.8303788813061965
2019-04-05,108.18506378916862,4.3720073080958155,4.824255421682611
2019-04-08,108.10722686068033,4.379522906161215,4.828079449327816
2019-04-09,108.33350891023407,4.359167859247948,4.817623418784001
2019-04-10,108.31041971648914,4.361148682344074,4.81870528099928
2019-04-11,108.09112370734097,4.382291962137841,4.829219876162538
2019-04-12,107.80515626245528,4.411529422866356,4.842540932848616
2019-04-15,107.74929100605655,4.414850417875682,4.844968545805761
2019-04-16,107.70465631985694,4.418792308582886,4.846919681669015
2019-04-17,107.72119044137766,4.415929735492208,4.846167126793066
2019-04-18,107.77894606529034,4.410999675152105,4.843581504521488
2019-04-22,107.7658168850649,4.4109269819692765,4.844288541144692
2019-04-23,107.89234715884541,4.387896455628049,4.827410215990668
2019-04-24,108.02956127443248,4.375001739504736,4.821424473101987
2019-04-25,108.036426653403,4.375343825009526,4.820819558596834
2019-04-26,108.29299659535359,4.349000716044604,4.806549683080519
2019-04-29,108.22256838801115,4.355365403999545,4.809410238877776
2019-04-30,108.23112010447319,4.3543638653476435,4.808931663695559
2019-05-01,108.00408401650726,4.352619336433894,4.786244336860435
2019-05-02,107.72115173820784,4.37923888671905,4.799254282649668
2019-05-03,107.93921076360498,4.356973413021237,4.789083124800975
2019-05-06,108.03784243723635,4.347163595639958,4.7844636603998625
2019-05-07,107.83762728781845,4.364885040805544,4.793669395395872
2019-05-08,107.8591999424118,4.360811781355456,4.792530449104482
2019-05-09,107.69702314989476,4.374386116051587,4.799897179858825
2019-05-10,107.68885927660995,4.374546001198953,4.800217480162949
2019-05-13,107.43352225716166,4.39450984292078,4.812714720161493
2019-05-14,107.70809440010176,4.3692203483036485,4.799854207669374
2019-05-15,107.93059072225074,4.34864161934807,4.789627067229474
2019-05-16,107.87353418490578,4.35615391723021,4.79256428345789
2019-05-17,107.8199088595178,4.361218528677058,4.7951791689205825
2019-05-20,107.81566836491696,4.361006956671631,4.7952638531287395
2019-05-21,107.96967351332691,4.345479075417624,4.787879590685695
2019-05-22,108.01259334236508,4.339458400160168,4.785835901816937
2019-05-23,108.08164941398431,4.332191334391511,4.7830023829167345
2019-05-24,108.137681677075,4.328140288598092,4.780626808693866
2019-05-27,108.13768167707497,4.32814028859807,4.780626808693866
2019-05-28,108.30746295619075,4.310346147703736,4.773219234953929
2019-05-29,108.54851121658473,4.286957198981223,4.762953658034719
2019-05-30,108.74797383187678,4.266879712564742,4.7540429899116665
2019-05-31,108.79968593093679,4.258771844096465,4.7515930564231645
2019-06-03,109.23808410491107,4.21549924682183,4.732027472644473
2019-06-04,109.87191787337511,4.154774123244409,4.703725354889388
2019-06-05,110.06957702815147,4.1332692264877124,4.695024919578317
2019-06-06,110.00108004565136,4.139925602060401,4.698641850711538
2019-06-07,110.32602104260803,4.107529875617066,4.684797661911477
2019-06-10,110.51679108149199,4.091470642910999,4.6760510084940865
2019-06-11,110.78386557696032,4.067750135350345,4.664418935486969
2019-06-12,110.8918040576274,4.057096449632125,4.659722885060957
2019-06-13,110.94438527101933,4.0514684980340165,4.65716137217802
