Ticker;RiskFactor;Product;Type
USN6945AAL19 Corp;PETBRA;PETBRA 5.093 01/15/30;Corp Bond
USU4034GAA14 Corp;GGBRBZ;GGBRBZ 4 1/4 01/21/30;Corp Bond
US46556MAM47 Corp;ITAU;ITAU 4 1/2 11/21/29;Corp Bond
US91911TAE38 Corp;VALEBZ;VALEBZ 7.2 09/15/32;Corp Bond
USP1905CJX94 Corp;BRF SA;BRFSBZ 4 7/8 01/24/30;Corp Bond
US86964WAF95 Corp;SUZANO;SUZANO 6 01/15/29;Corp Bond
USN15516AD40 Corp;BRASKM;BRASKM 4 1/2 01/31/30;Corp Bond
